STIS Model Line Spread Function vs Aperture at 320 nm
Rel_pixel      52x0.1    52x0.2    52x0.5    52x2.0
 18.127        0.0000    0.0000    0.0000    0.0014
 18.200        0.0000    0.0000    0.0000    0.0014
 18.273        0.0000    0.0000    0.0000    0.0014
 18.346        0.0000    0.0000    0.0000    0.0014
 18.418        0.0000    0.0000    0.0000    0.0013
 18.491        0.0000    0.0000    0.0000    0.0013
 18.564        0.0000    0.0000    0.0000    0.0013
 18.637        0.0000    0.0000    0.0000    0.0013
 18.710        0.0000    0.0000    0.0000    0.0013
 18.782        0.0000    0.0000    0.0000    0.0013
 18.855        0.0000    0.0000    0.0000    0.0013
 18.928        0.0000    0.0000    0.0000    0.0013
 19.001        0.0000    0.0000    0.0000    0.0012
 19.074        0.0000    0.0000    0.0000    0.0012
 19.146        0.0000    0.0000    0.0000    0.0012
